,"1. Care dintre următoarele elemente anatomice aparțin feței anterioare a osului frontal:
"
,"1. Pe linia mediană se observă la bătrîni sutura metopică sau medio-frontală
"
,"2. Fața anterioară este concavă, netedă și vine în raport cu tegumentul
"
TRUE,"3. În părțile postero-laterale ale acestei fețe se obervă cîte o fațetă triunghiulară numită fațeta temporală a frontalului
"
,"4. Bosele frontale laterale se găsesc la aproximativ 4 cm deasupra marginii supraorbitare
"
TRUE,"5. Lateral se găsesc două proeminențe rotunjite numite bose frontale laterale
"
FALSE,"6. Fațeta temporală a frontalului este separată de restul feței anterioare printr-o creastă orizontală marcată numită creasta laterală a frontalului
"
TRUE,"7. Fațeta temporală a frontalului formează partea anterioară a fosei temporale pe care se inseră mușchiul temporal
"
TRUE,"8. Dedesuptul boselor frontale laterale se găsesc arcadele sprîncenare
"
TRUE,"9. Pe linia mediană deasupra rădăcinii nasului se găsește bosa frontală mijlocie sau glabella
"
,"10. Bosele frontale laterale sunt mai pronunțate la bărbați decît la femei și la adulți față de copii
"
,
,"2. Care dintre următoarele elemente anatomice referitoare la fașa inferioară a frontalului sunt caracteristice:
"
,"1. Fosa orbitară prezintă în partea medială o depresiune numită foseta lacrimală
"
,"2. Fosa orbitară prezintă în partea antero-laterală o depresiune numită foseta trohleară
"
,"3. Canalele orbitare reprezintă o cale de comunicare între cavitatea orbitară și cea nazală
"
,"4. Pe marginile șanțului etmoidal în partea anterioară, de o parte și de alta a spinei nazale a frontalului se găsesc două orificii neregulate care reprezintă orificiile orbitare interne
"
TRUE,"5. În foseta trohleară se inseră trohlea fibrocartilaginoasă a mușchiului oblic superior al globului ocular
"
,"6. Șanțul etmoidal adăpostește lama verticală a etmoidului
"
TRUE,"7. De o parte și de alta a șanțului etmoidal fața inferioară prezintă o suprafață triunghiulară netedă și concavă numită fosa orbitară
"
TRUE,"8. Pe marginile șanțului etmoidal în spatele orificiilor se găsesc semicelulele frontalului
"
TRUE,"9. Pe linia mediană această față prezintă un șanț rectangular în formă de ″U″ cu deschiderea posterior numit șanț etmoidal
"
TRUE,"10. În fața acestui șanț se găsește o spină ascuțită: spina nazală a frontalului
"
,
,"3. Care dintre următoarele elemente anatomice aparțin feței posterioare a osului frontal:
"
FALSE,"1. La nivelul boselor orbitare se găsesc mici proeminențe rotunjite numite impresiuni mamilare
"
TRUE,"2. Prin foramen cecum trece o venă
"
,"3. Marginile șanțului se unesc pentru a forma o creastă verticală numită crista galli pe care se inseră coasa creierului
"
TRUE,"4. Fața posterioară prezintă pe linia mediană mergînd de sus în jos următoarele elemente: un șanț longitudinal vertical în care stă sinusul longitudinal superior
"
,"5. Prin foramen cecum trece artera etmoidală anterioară
"
TRUE,"6. Creasta se termină la nivelul unui orificiu numit gaura oarbă (foramen cecum)
"
,"7. De o parte și de alta a liniei mediane se găsesc în partea superioară două depresiuni numite bosele frontale
"
TRUE,"8. În apropierea sinusului longitudinal superior se pot găsi cîteva faveole granulare pentru granulațiile arahnoidei
"
,"9. Fața posterioară a frontalului vine în raport cu lobul temporal
"
TRUE,"10. Fața posterioară este concavă în partea superioară și convexă în partea inferioară
"
,
,"4. Care dintre următoarele elemente anatomice referitoare la marginea anterioară a osului frontal sunt adevărate?
"
,"1. Prin șanțul (gaura) supraorbitar trece nervul frontal intern (supratrohlear)
"
TRUE,"2. Marginea anterioară separă fața anterioară a frontalului de cea inferioară
"
