,"1. Următoarele/ următoarea afirmații cu privire la fiziologia respirației sunt adevărate:
",,,,
TRUE,"   1. rolul homeostatic principal al aparatului respirator este de a menţine în limite constante pH-ul şi nivelurile de oxigen şi bioxid de carbon în sângele arterial sistemic care apoi este distribuit la ţesuturi prin intermediul circulaţiei;
",,,,
,"   2. rolul homeostatic secundar al aparatului respirator este de a menţine în limite constante pH-ul şi nivelurile de oxigen şi bioxid de carbon în sângele venos și arterial sistemic care apoi este distribuit la ţesuturi prin intermediul circulaţiei;
",,,,
TRUE,"   3. omul şi alte animale superioare preiau oxigen din aer şi eliberează bioxid de carbon în vederea satisfacerii nevoilor metabolice ale ţesuturilor, fenomen care se numeşte schimb de gaze şi care reprezintă esența fiziologiei respiratorii;
",,,,
,"   4. organismul uman preia oxigen din aer şi eliberează bioxid de carbon în vederea satisfacerii nevoilor metabolice ale ţesuturilor, fenomen care se numeşte schimb de gaze şi care nu reprezintă esenţa fiziologiei respiratorii;
",,,,
,"   5. rolul homeostatic secundar al aparatului respirator este de a menţine în limite constante pH-ul şi nivelurile de oxigen şi bioxid de carbon în sângele arterial sistemic care apoi este distribuit la ţesuturi prin intermediul circulaţiei;
",,,,
,"   6. ventilația alveolară reprezintă procesul prin care aerul alveolar este permanent împrospătat cu aer de proveniență atmosferică și permite aducerea unei cantităţi limitate de oxigen şi reținerea bioxidului de carbon produs de organism;
",,,,
,"   7. următoarele procese sunt implicate în schimbul gazos: ventilația alveolară, difuzia gazelor respiratorii, transportul gazelor respiratorii, transferul de gaze respiratorii, respirația non-celulară;
",,,,
TRUE,"   8. ventilația alveolară reprezintă procesul prin care aerul alveolar este permanent împrospătat cu aer de proveniență atmosferică;
",,,,
TRUE,"   9. ventilația alveolară permite aducerea unor noi cantităţi de oxigen şi îndepărtarea bioxidului de carbon produs de organism;
",,,,
TRUE,"   10. următoarele procese sunt implicate în schimbul gazos: ventilația alveolară, difuzia gazelor respiratorii, transportul gazelor respiratorii, transferul de gaze respiratorii, respirația celulară;
",,,,
